amount,location_risk,transaction_frequency,previous_fraud,recipient_new,night_transaction,fraud
500,0,1,0,0,0,0
1000,0,1,0,0,0,0
1500,0,2,0,0,0,0
2000,0,2,0,0,0,0
3000,0,3,0,0,0,0
5000,0,2,0,0,0,0
7500,0,3,0,1,0,0
10000,0,3,0,0,0,0
12000,0,4,0,0,0,0
15000,0,4,0,0,0,0
18000,0,5,0,0,0,0
20000,0,5,0,0,0,0
25000,0,4,0,0,0,0
30000,0,5,0,1,0,0
35000,0,5,0,0,0,0
40000,0,4,0,0,0,0
45000,0,6,0,0,0,0
50000,0,5,0,0,0,0
55000,0,6,0,1,0,1
60000,1,8,0,1,0,1
70000,1,10,0,1,1,1
80000,1,12,1,1,1,1
90000,1,15,1,1,1,1
100000,1,18,1,1,1,1
120000,1,20,1,1,1,1
150000,1,22,1,1,1,1
200000,1,25,1,1,1,1
250000,1,30,1,1,1,1
300000,1,35,1,1,1,1
500000,1,40,1,1,1,1
